Country,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991
Albania,11500,14000,15000,14100,10300,15170,16227,17269,16000,12250,8000
Algeria,200,200,200,200,200,200,200,,,,
Argentina,80,37,318,223,391,317,379,492,653,357,409
Australia,231339,245322,261476,235671,259765,248368,232695,243800,296000,330000,320000
Bolivia,2637,2270,1982,1610,1665,338,,,,,
Botswana,17815,18375,20266,21517,21692,21337,18934,24428,23403,20612,20576
Brazil,11777,24482,32077,35212,40999,40183,40332,44845,47439,34441,37947
Bulgaria,62000,65000,68000,73000,58000,70000,54000,50000,38800,32900,47200
Burma,77,101,4200,12000,16700,10100,10600,4700,5000,4400,5700
Canada,691328,612455,653040,721826,738637,698527,802181,776482,723052,793735,811134
Chile,1081100,1242200,1257500,1290700,1356400,1401100,1418100,1451000,1609300,1588400,1814300
China,170000,175000,175000,240000,270000,300000,350000,370000,544000,557000,304000
Colombia,315,113,162,234,0,0,,,,,
Congo,245,100,100,0,100,700,320,520,,,
Cuba,2908,2674,2688,2701,3076,3257,3461,2951,2759,2000,2000
Cyprus,259,841,1148,1267,1065,559,97,383,485,472,226
Czechoslovakia,9200,9300,9800,10200,10100,4795,4069,3807,3709,2884,1550
Ecuador,825,,,,,,,,,,
Finland,41892,41739,38570,34529,30415,27463,21593,18420,25107,17482,16224
France,98,137,304,310,253,294,291,509,1027,483,372
German Democratic Rep,12000,13000,12000,12000,12600,11500,11112,9019,7906,3564,
German Federal Republic,1400,1300,1200,1000,900,800,1500,700,100,0,
Germany,,,,,,,,,,,0
Greece,100,100,200,300,300,300,1000,,,,
Guatemala,726,,,,,,,,,,
Honduras,454,758,650,2720,3329,424,306,538,244,1388,1000
India,25200,24000,43800,47000,48000,49160,54085,51463,53342,51566,50430
Indonesia,62550,75136,78608,85619,88750,100490,105346,126200,135035,162366,267401
Iran,2000,43000,57600,43300,40000,50000,40000,50700,68000,67000,89900
"Ireland, Republic of",3400,1573,,,,,,,,,
Israel,4400,4100,,,,,,,,,
Italy,771,138,1556,876,127,0,,,,,
Japan,51513,50658,46045,43309,43208,34928,23817,16666,14650,12927,12413
Korea (Rep. of),501,320,389,464,308,215,249,,,,
"Korea, Dem. P.R. of",12000,12000,10000,10000,10000,10000,12000,12000,12000,12000,14000
Malaysia,28642,30906,29136,29288,30506,28301,29861,22014,23565,24327,25581
Mexico,230466,239091,206062,189111,167977,174558,230573,268359,249328,298695,284174
Mongolia,71800,95000,95000,100000,100000,120338,120940,121594,123410,123893,90100
Morocco,6767,20723,22936,21380,19678,18599,13944,13228,14647,13901,15800
Mozambique,194,224,250,261,124,273,151,139,88,28,0
Namibia,44300,48800,52100,50000,43128,47111,37993,42899,32792,27797,31719
Norway,28123,27590,22568,25042,19252,29572,23235,18655,20132,23041,19901
Oman,0,0,11300,16200,17600,16700,16900,18100,16600,13700,13500
Papua New Guinea,165420,170004,183191,164447,175048,178593,217699,218633,204025,170211,204459
Peru,327614,356300,322200,364732,385000,386060,406430,316400,368200,323400,382277
Philippines,302328,292086,271403,233359,222189,217023,214103,216465,191930,180459,148000
Poland,294600,376000,402300,431000,432000,435000,438000,459000,401000,370000,382000
Portugal,2849,2287,375,366,314,271,203,8221,98017,159841,158885
Romania,30000,30000,28000,30000,30000,35000,49800,50200,47800,32000,27200
South Africa,208567,195643,212112,206550,205052,192936,197913,178171,191577,188368,193642
Soviet Union,1000000,1010000,1020000,1020000,1030000,1030000,1010000,990000,950000,900000,840000
Spain,56423,47614,54818,63105,60960,51084,16213,14165,27510,13300,7716
Sweden,51472,52682,75338,90448,91867,87871,86113,75032,71238,74283,81650
Taiwan,500,,,,,,,,,,
Turkey,32085,32789,24767,31075,29860,26085,31531,37746,38151,39825,39422
USA,1538160,1146975,1038098,1102613,1102600,1147277,1243596,1416928,1497818,1587742,1631078
United Kingdom,607,649,652,657,592,602,750,732,508,955,294
Yugoslavia,110961,119299,129506,137575,142479,138544,130470,103523,139631,140145,121842
Zaire,506481,505385,504207,500220,504235,502600,501864,505800,442800,352400,236100
Zambia,587442,529641,591300,576000,510800,512858,527000,518062,540079,545677,423000
Zimbabwe,24583,24800,21560,22687,20700,20600,18800,16116,15800,14800,13811
