Country,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980
Albania,6000,6500,6700,7000,7000,9000,10000,10000,11500,9700,11500
Algeria,574,514,428,353,350,378,400,400,200,200,200
Argentina,461,497,1125,284,315,380,265,169,319,89,182
Australia,157790,177261,185843,220335,251340,218961,218480,221579,222111,237614,243541
Austria,2262,2575,2231,2713,2612,1923,1138,,,,
Bolivia,8700,7809,8400,7971,7433,5882,4680,3670,3267,1797,1882
Botswana,,,,600,2755,6504,12473,11788,14615,14563,15554
Brazil,3920,5418,4455,3412,3075,1922,54,0,0,0,402
Bulgaria,42000,44400,46300,48000,51600,55000,57000,57000,57000,60000,62000
Burma,70,80,80,75,70,86,92,100,100,100,56
Canada,610281,654470,719672,823942,821381,733826,730930,759423,659380,636383,716363
Chile,685600,708300,716900,735400,899700,828300,1005200,1056200,1034200,1062700,1067900
China,,,115000,120000,130000,140000,150000,155000,160000,160000,165000
Colombia,,,,,0,0,260,78,100,336,442
Congo,269,2070,5485,3709,2100,918,408,1015,595,1000,1300
Cuba,400,0,1827,2107,2901,2777,2898,2583,2821,2840,3350
Cyprus,,,16767,14217,12828,9866,7900,6800,4678,1200,0
Czechoslovakia,,,,,10900,10700,8500,7800,8200,9000,11500
Ecuador,510,565,438,304,179,239,267,765,508,666,923
Finland,30900,28500,34800,38213,36667,38000,41700,52113,52089,44349,53000
France,250,248,472,414,392,183,188,128,200,400,100
German Democratic Rep,18000,15000,20000,18000,18000,16500,16000,17000,15000,14000,11800
German Federal Republic,1477,1484,1321,1436,1734,1961,1613,1210,821,851,1274
Greece,,,,,1500,2500,2600,3500,1500,0,100
Guatemala,,,0,0,1600,3300,3500,2500,2023,1791,813
Haiti,4848,6500,,,,,,,,,
Honduras,,,,,,200,364,535,427,288,269
Hungary,,,,,,400,262,304,203,116,
India,9700,11096,15669,15785,20457,25155,25400,29011,26640,27717,26819
Indonesia,0,0,5000,37900,64600,63500,69100,57100,58000,60198,58990
Iran,,,,,4000,4000,6000,6000,6000,3000,1000
"Ireland, Republic of",8281,11800,13656,13046,12700,9839,4097,4829,4700,5000,4000
Israel,10988,10700,11175,10165,9488,8035,2100,0,0,0,400
Italy,2300,1540,1049,858,900,800,1000,700,531,489,604
Japan,119513,120551,112114,91280,82135,84639,81606,81395,71951,59960,52553
Kenya,79,73,72,70,70,70,,,,,
Korea (Rep. of),1639,1773,2082,2321,3235,2330,2097,1688,715,475,372
"Korea, Dem. P.R. of",13000,13000,13000,13000,14000,15000,15000,15000,15000,15000,12000
Malaysia,,,0,0,0,3800,18200,24000,26000,24514,26990
Mauritania,1950,4740,15051,21277,20079,6582,10000,7640,1773,,
Mexico,61012,63150,78720,80501,82670,78196,88970,89662,87186,107109,175399
Mongolia,,,,,,,,,4000,21700,44000
Morocco,3172,2595,3831,4149,4670,4600,4400,3370,4300,8233,7088
Mozambique,,,,,,,2000,3000,300,200,145
Namibia,23000,25900,21500,28300,33200,34900,43500,49200,37700,41900,39200
New Zealand,47,85,,,,,,,,,
Nicaragua,3029,3662,2188,1545,1775,600,800,300,,,
Norway,19947,21672,26007,29947,24120,26647,31080,29053,29073,28659,28891
Oman,,,,,,,,,,0,0
Papua New Guinea,0,0,124000,182900,184100,172477,176519,182291,198603,170788,146813
Peru,220225,207346,219126,202686,211593,165813,220269,338110,366753,390720,366800
Philippines,160292,197573,213695,221195,225485,225775,237588,272792,263589,298300,304504
Poland,83000,122300,135000,152000,185000,230000,263000,282000,312000,340000,343000
Portugal,3762,3957,543,651,568,447,387,3208,2962,3652,3889
Rhodesia,24000,23300,31800,35000,40000,47579,48186,34767,33848,29724,
Romania,,,30000,40000,40000,44000,30000,27000,27000,29000,28000
South Africa,144200,148400,161927,175797,179111,178927,196880,205414,205745,190591,210348
Soviet Union,925000,990000,1030000,1060000,1060000,1100000,1130000,1100000,1140000,1130000,980000
Spain,9522,34032,39900,51588,46753,30020,34867,43462,40448,42982,48483
Sweden,26283,30200,30619,44819,40637,40634,44860,44764,47412,45773,42785
Taiwan,2500,2400,1996,2400,2500,1900,2000,2000,800,600,500
Turkey,31100,30000,22100,30200,30000,27300,29323,34979,27188,30521,21300
USA,1560038,1380894,1510318,1558489,1448776,1282184,1456564,1364375,1357587,1446586,1181116
Uganda,,,,14200,11500,8500,7000,4000,7200,,
United Kingdom,0,,238,459,434,652,552,453,135,0,200
Yugoslavia,90808,94392,103133,111797,112080,114894,120130,116218,123319,111421,114786
Zaire,385679,407700,438501,488514,499331,464928,443948,452716,472533,401416,462202
Zambia,684100,651400,717700,706574,697956,647163,711681,658788,654012,586046,609935
Zimbabwe,,,,,,,,,,,26901
