Country,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013
Albania,0,642,1696,1140,2384,3633,2600,2672,4379,5691,5087
Argentina,199020,177143,187317,180144,180223,156900,143084,140300,116700,135700,109600
Armenia,18068,17700,16400,17930,17629,18754,23233,31062,33597,40908,48891
Australia,830000,854000,928217,878874,862535,878940,855892,871963,960649,921390,1000999
Azerbaijan,,,,,,,0,183,611,502,327
Bolivia,344,576,35,218,606,567,620,2100,4176,8700,7549
Botswana,24289,21195,26704,24255,19996,23146,24382,48026,31929,35768,48500
Brazil,26275,103153,133325,147836,205728,218295,211692,213548,213760,223141,270979
Bulgaria,91600,79600,112536,123571,116157,107195,110652,112904,114603,118255,115149
Burma,27900,31800,34500,19500,15100,6900,9800,10000,12000,25000,33000
Canada,557082,562795,595383,603295,596249,607957,484605,522172,566779,580082,652595
Chile,4904200,5412500,5320500,5360800,5557000,5327600,5394400,5418900,5262800,5433900,5776000
China,614400,754200,776000,889000,946200,1092700,1062000,1155800,1294700,1576800,1715150
Colombia,1500,1600,1800,600,840,1050,1140,711,808,781,659
"Congo, Democratic Republic",16359,18995,97500,142300,144600,239200,299300,378300,499198,619942,922016
Cyprus,2500,0,0,900,3012,2986,2380,2595,3660,4328,3631
Dominican Republic,,,,,0,2109,12937,10015,11777,11737,10379
Ecuador,,,,,,,300,700,1400,1800,4700
Eritrea,,,,,,,0,0,0,0,21800
Finland,14900,15500,15000,13000,13600,13300,14600,14700,14000,25446,38763
Georgia,14700,12000,9500,14600,11300,18700,16600,10600,10000,6800,10000
India,29529,30072,28640,30051,32726,30528,28491,31778,31375,29281,32194
Indonesia,1005837,840318,1063849,817796,796899,650100,995500,863900,538300,398100,509300
Iran,146100,153000,149900,216200,244200,248100,262500,256700,258900,245500,222900
Japan,1000,1000,1000,300,,,,,,,
Kazakhstan,484500,461800,401700,446300,444000,467000,406100,380600,405300,426800,454400
"Korea, Dem. P.R. of",12000,12000,12000,12000,12000,2400,3700,4600,7000,17000,15000
Kyrgyzstan,,,,,,,,0,0,0,0
Laos,0,1700,30480,60803,62541,89004,121581,132047,138756,149580,154915
Macedonia,618,0,4799,7054,7029,8051,7440,7912,7555,10600,11700
Malaysia,,,,0,0,0,240,,,,
Mauritania,,,,5031,28755,33073,36608,36969,35281,37670,37970
Mexico,355653,405539,429042,334129,337527,246593,240648,270136,443621,500275,480124
Mongolia,130300,132250,128960,132075,132565,129600,132300,127600,124000,123900,189000
Morocco,4818,2900,3200,4600,5592,5929,11830,14986,12076,14750,11575
Namibia,16175,11174,10157,6262,5800,8800,0,0,3366,5304,4896
Oman,0,0,0,0,7395,14826,15563,16530,21166,19684,10906
Pakistan,5400,14700,17700,18700,18800,18700,19600,19900,20000,23900,20700
Papua New Guinea,202300,173370,192978,194355,169184,159650,166669,159821,130456,125326,105523
Peru,842578,1035574,1009898,1048472,1190274,1267867,1276249,1247184,1235345,1298761,1375641
Philippines,20414,15984,16320,17161,22862,21235,49060,58412,63835,65444,90861
Poland,503544,530768,511799,497200,451900,429687,439365,425725,426665,427064,428879
Portugal,77581,95700,89541,78660,90247,89026,86462,74426,79686,74043,77236
Romania,23389,20380,16286,12535,2213,308,3129,5127,6355,5902,6800
Russia,650000,630000,640000,675000,690000,705000,675700,702700,587900,582900,655900
Saudi Arabia,627,652,668,730,737,1465,1719,1603,1954,4410,5095
Serbia,0,0,0,11100,16500,17600,19400,22800,26100,32200,36200
Serbia and Montenegro,15500,13800,11600,,,,,,,,
Slovakia,,,,,,,14,22,28,31,40
South Africa,89338,85710,88600,89500,97000,108700,107600,102600,96600,88800,80821
Spain,635,1308,7358,8129,6281,14138,17663,54335,68511,99894,104600
Sweden,83143,82415,87068,86746,62905,57688,55414,76514,82967,82422,82904
Tajikistan,,,,,,,,,,,600
Tanzania,3715,4240,3661,3285,3276,2852,3079,6400,6748,5840,5740
Turkey,43245,49800,54100,46400,81000,82400,72400,79900,92500,104300,120500
USA,1116000,1160000,1140000,1197000,1170000,1310000,1180000,1110000,1112900,1166800,1278200
Uzbekistan,80000,80000,80000,80000,80000,80000,80000,80000,80000,95600,100000
Vietnam,1200,2000,3100,11400,12500,11520,12935,12260,11888,12716,12958
Zambia,346900,410300,465002,497169,524000,567700,601200,767008,663400,695200,759800
Zimbabwe,2767,2383,2570,2581,2681,2827,3572,4629,6555,6665,8285
